id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"542S0542000312";"0542000312";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"AMICALE DES CHEMINOTS DE BLAINVILLE-DAMELEVIERES";"Education populaire par l'enseignement individuel et collectif des lettres et des arts. Pratique régulière de l'éducation physique et des sports suivants : basket, boules, football, judo, pétanque, rugby, tennis, tennis de table, boxe, handball, volleyball. Organisation de conférences scientifiques, littéraires et sportives. Participation de tous ses membres aux fêtes, manifestations patriotiques ou nationales. En général ce qui peut meubler utilement et agréablement les loisirs.";"007000";"000000";"Centre de loisirs sans hébergement Stade SNCF";"";"";"54360";"DAMELEVIERES";"PM";"";"W542001489";"R";"";"2015-09-17 15:28:22"
"542S0542000331";"0542000331";"";"542S";"0001-01-01";"1937-05-02";"D";"S";"ASSOCIATION DES PROPRIETAIRES ET CHASSEURS DE BROUVILLE";"O";"007000";"000000";"Mairie";"";"";"54120";"BROUVILLE";"PM";"";"reprise auto => date publication création au JO à vérifier";"D";"";"2006-01-13 14:15:08"
"542S0542000355";"0542000355";"";"542S";"0001-01-01";"1939-02-12";"D";"S";"ASSOCIATION JEANNE D'ARC";"Educ.populai spirituelle";"000000";"000000";"32, rue charles vue";"";"";"54300";"LUNEVILLE";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000356";"0542000356";"";"542S";"0001-01-01";"1939-02-23";"D";"S";"SOCIETE DES AMIS DU VIEUX LUNEVILLE";"O";"030005";"000000";"60, rue de la republique";"";"";"54300";"LUNEVILLE";"PM";"";"W542001568";"R";"";"2016-09-07 10:38:08"
"542S0542000375";"0542000375";"";"542S";"0001-01-01";"1944-08-05";"D";"S";"ASSOCIATION SPORTIVE DU LYCEE POLYVALENT D'ETAT MIXTE  ERNEST BICHAT";"Association sportive ernest bichat";"011010";"000000";"Avenue du docteur paul kahn";"";"";"54300";"LUNEVILLE";"PM";"";"W542001499";"R";"";"2015-11-16 17:20:41"
"542S0542000479";"0542000479";"";"542S";"0001-01-01";"1947-01-03";"D";"S";"ASSOCIATION AMICALE DES MARINS ET ANCIENS MARINS COMBATTANTS DE LUNEVILLE";"De conserver et de renforcer les liens d'amitie et de camaraderie qui unissent les anciens marins dans le souvenir des joies,des efforts,des dangers,et aussi des sacrifices vecus en commun au service de la france.";"038105";"038100";"Antik radio";"46, rue de la republique";"";"54300";"LUNEVILLE";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000496";"0542000496";"";"542S";"0001-01-01";"1947-04-13";"D";"S";"ASSOCIATION SPORTIVE DU COLLEGE DE BACCARAT";"Sport college";"000000";"000000";"1 bis, avenue de lachapelle";"";"";"54120";"BACCARAT";"PM";"";"W542005114";"R";"";"2022-10-26 14:58:51"
"542S0542000498";"0542000498";"";"542S";"0001-01-01";"1947-04-27";"D";"S";"JEUNESSE SPORTIVE DE VAL ET CHATILLON";"O";"011075";"000000";"Mairie";"";"";"54480";"VAL-ET-CHATILLON";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000505";"0542000505";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"FANFARE MUNICIPALE DE BLAMONT";"Procurer à ses membres une instruction musicale et des distractions saines et agréables. A cet effet, il sera organisé : - des cours de solfège et d'instruments. - des concerts et éventuellement des séances récréatives.";"006030";"000000";"Mairie";"";"";"54450";"BLAMONT";"PM";"";"W542005124";"R";"";"2022-12-29 15:28:35"
"542S0542000509";"0542000509";"";"542S";"0001-01-01";"1947-05-12";"D";"S";"ASSOCIATION FAMILIALE RURALE D'OGEVILLER";"Familiale rural";"000000";"000000";"Place de l'eglise";"";"";"54450";"OGEVILLER";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
