Code_departement,Libelle_departement,Code_Nuance,Voix_T1,pct_Voix_Ins_T1,pct_Voix_Exp_T1,Sieges_T1,Voix_T2,pct_Voix_Ins_T2,pct_Voix_Exp_T2,Sieges_T2
4,ALPES DE HAUTE PROVENCE,FG,0.0,7289.0,5.88,9.59,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,FN,0.0,12075.0,9.75,15.89,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,NCE,0.0,497.0,0.4,0.65,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,SOC,0.0,26158.0,21.11,34.43,2.0,41196.0,33.25,56.25
4,ALPES DE HAUTE PROVENCE,UMP,0.0,20353.0,16.43,26.79,0.0,32041.0,25.86,43.75
4,ALPES DE HAUTE PROVENCE,VEC,0.0,4716.0,3.81,6.21,0.0,0.0,0.0,0.0
5,HAUTES ALPES,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HAUTES ALPES,AUT,0.0,277.0,0.26,0.43,0.0,0.0,0.0,0.0
5,HAUTES ALPES,CEN,0.0,630.0,0.59,0.97,0.0,0.0,0.0,0.0
5,HAUTES ALPES,DVD,0.0,540.0,0.51,0.83,0.0,0.0,0.0,0.0
5,HAUTES ALPES,DVG,0.0,3650.0,3.41,5.61,0.0,0.0,0.0,0.0
5,HAUTES ALPES,ECO,0.0,408.0,0.38,0.63,0.0,0.0,0.0,0.0
5,HAUTES ALPES,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HAUTES ALPES,EXG,0.0,233.0,0.22,0.36,0.0,0.0,0.0,0.0
5,HAUTES ALPES,FG,0.0,5078.0,4.75,7.8,0.0,0.0,0.0,0.0
5,HAUTES ALPES,FN,0.0,8125.0,7.6,12.48,0.0,0.0,0.0,0.0
5,HAUTES ALPES,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HAUTES ALPES,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HAUTES ALPES,RDG,0.0,13362.0,12.5,20.52,1.0,17461.0,16.33,27.75
5,HAUTES ALPES,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HAUTES ALPES,SOC,0.0,10181.0,9.52,15.64,1.0,17804.0,16.65,28.29
5,HAUTES ALPES,UMP,0.0,19644.0,18.37,30.17,0.0,27664.0,25.87,43.96
5,HAUTES ALPES,VEC,0.0,2980.0,2.79,4.58,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,AUT,0.0,357.0,0.05,0.09,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,CEN,0.0,2131.0,0.29,0.51,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,DVD,0.0,8481.0,1.14,2.03,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,DVG,0.0,10769.0,1.44,2.58,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,ECO,0.0,8975.0,1.2,2.15,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,EXD,0.0,8540.0,1.14,2.04,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,EXG,0.0,4055.0,0.54,0.97,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,FG,0.0,20163.0,2.7,4.83,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,FN,0.0,77290.0,10.36,18.5,0.0,28352.0,4.89,9.95
6,ALPES MARITIMES,NCE,0.0,17420.0,2.33,4.17,1.0,25060.0,4.32,8.79
6,ALPES MARITIMES,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,RDG,0.0,5417.0,0.73,1.3,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,REG,0.0,82.0,0.01,0.02,0.0,0.0,0.0,0.0
6,ALPES MARITIMES,SOC,0.0,67822.0,9.09,16.23,0.0,65611.0,11.31,23.02
6,ALPES MARITIMES,UMP,2.0,163476.0,21.91,39.13,6.0,145076.0,25.0,50.91
6,ALPES MARITIMES,VEC,0.0,22799.0,3.06,5.46,0.0,20880.0,3.6,7.33
7,ARDECHE,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,AUT,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,CEN,0.0,2942.0,1.21,1.95,0.0,0.0,0.0,0.0
7,ARDECHE,DVD,0.0,8012.0,3.29,5.31,0.0,0.0,0.0,0.0
7,ARDECHE,DVG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,ECO,0.0,938.0,0.38,0.62,0.0,0.0,0.0,0.0
7,ARDECHE,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,EXG,0.0,1854.0,0.76,1.23,0.0,0.0,0.0,0.0
7,ARDECHE,FG,0.0,11174.0,4.59,7.41,0.0,0.0,0.0,0.0
7,ARDECHE,FN,0.0,22514.0,9.24,14.92,0.0,13463.0,5.53,9.27
7,ARDECHE,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARDECHE,SOC,0.0,59488.0,24.42,39.43,3.0,82107.0,33.72,56.54
7,ARDECHE,UMP,0.0,37471.0,15.38,24.84,0.0,49656.0,20.39,34.19
7,ARDECHE,VEC,0.0,6465.0,2.65,4.29,0.0,0.0,0.0,0.0
8,ARDENNES,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ARDENNES,AUT,0.0,42.0,0.02,0.04,0.0,0.0,0.0,0.0
8,ARDENNES,CEN,0.0,773.0,0.39,0.69,0.0,0.0,0.0,0.0
8,ARDENNES,DVD,0.0,153.0,0.08,0.14,0.0,0.0,0.0,0.0
8,ARDENNES,DVG,0.0,4720.0,2.4,4.24,0.0,0.0,0.0,0.0
8,ARDENNES,ECO,0.0,515.0,0.26,0.46,0.0,0.0,0.0,0.0
8,ARDENNES,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ARDENNES,EXG,0.0,518.0,0.26,0.47,0.0,0.0,0.0,0.0
8,ARDENNES,FG,0.0,5088.0,2.59,4.57,0.0,0.0,0.0,0.0
8,ARDENNES,FN,0.0,16690.0,8.49,14.98,0.0,0.0,0.0,0.0
8,ARDENNES,NCE,0.0,376.0,0.19,0.34,0.0,0.0,0.0,0.0
8,ARDENNES,PRV,0.0,153.0,0.08,0.14,0.0,0.0,0.0,0.0
8,ARDENNES,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ARDENNES,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ARDENNES,SOC,0.0,34943.0,17.77,31.37,1.0,36808.0,26.6,48.77
8,ARDENNES,UMP,1.0,45178.0,22.98,40.56,1.0,38657.0,27.94,51.23
8,ARDENNES,VEC,0.0,2242.0,1.14,2.01,0.0,0.0,0.0,0.0
9,ARIEGE,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ARIEGE,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ARIEGE,CEN,0.0,1171.0,1.01,1.65,0.0,0.0,0.0,0.0
9,ARIEGE,DVD,0.0,143.0,0.12,0.2,0.0,0.0,0.0,0.0
9,ARIEGE,DVG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ARIEGE,ECO,0.0,211.0,0.18,0.3,0.0,0.0,0.0,0.0
9,ARIEGE,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
